City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Marystown,CA,2020-04-28 02:54:01,47.17,-55.15,34.16,88,52,15.66
128,Boa Vista,BR,2020-04-28 02:54:01,2.82,-60.67,86.0,58,48,6.93
129,Poum,NC,2020-04-28 02:49:25,-20.23,164.02,78.8,68,1,13.76
130,Linhares,BR,2020-04-28 02:54:01,-19.39,-40.07,68.04,83,41,4.56
131,San Lawrenz,MT,2020-04-28 02:54:02,36.06,14.2,62.01,87,0,6.93
132,Petropavlovsk-Kamchatskiy,RU,2020-04-28 02:50:35,53.05,158.65,42.8,48,75,15.66
133,Khatanga,RU,2020-04-28 02:47:42,71.97,102.5,20.41,97,100,11.56
134,Izumo,JP,2020-04-28 02:54:02,35.37,132.77,62.6,45,20,12.75
135,Atuona,PF,2020-04-28 02:47:47,-9.8,-139.03,83.01,77,46,17.76
136,Denpasar,ID,2020-04-28 02:49:21,-8.65,115.22,86.0,84,20,9.17
137,Bolivar,US,2020-04-28 02:54:03,37.61,-93.41,60.01,74,100,13.56
138,San Jose,US,2020-04-28 02:47:00,37.34,-121.89,72.0,56,75,12.75
139,Banff,CA,2020-04-28 02:54:03,51.18,-115.57,31.77,51,17,4.32
140,Torbay,CA,2020-04-28 02:47:45,47.67,-52.73,33.01,86,90,6.93
141,Naze,JP,2020-04-28 02:48:32,28.37,129.48,69.8,60,75,13.87
142,Tamandare,BR,2020-04-28 02:54:04,-8.76,-35.1,78.15,84,63,7.47
143,Bundaberg,AU,2020-04-28 02:54:04,-24.85,152.35,84.0,54,90,14.99
144,Beni Suef,EG,2020-04-28 02:54:04,29.07,31.1,71.28,40,0,8.7
145,Tutoia,BR,2020-04-28 02:47:56,-2.76,-42.27,75.83,91,100,5.32
146,Kholtoson,RU,2020-04-28 02:49:40,50.3,103.31,63.97,30,79,1.79
147,Trinidad,BO,2020-04-28 02:48:26,-14.83,-64.9,73.44,89,20,2.77
148,Beruwala,LK,2020-04-28 02:54:05,6.48,79.98,83.97,76,100,2.93
149,Kishtwar,IN,2020-04-28 02:54:06,33.32,75.77,61.74,27,9,0.56
150,Coracora,PE,2020-04-28 02:54:06,-15.03,-73.78,51.13,27,45,2.15
151,Mishkino,RU,2020-04-28 02:54:06,55.34,63.92,50.68,80,98,0.43
152,Sosnovo-Ozerskoye,RU,2020-04-28 02:54:06,52.52,111.54,54.7,27,27,5.57
153,Pundaguitan,PH,2020-04-28 02:54:07,6.37,126.17,82.72,74,95,11.81
154,Cidreira,BR,2020-04-28 02:47:37,-30.18,-50.21,70.03,82,98,23.26
155,Contai,IN,2020-04-28 02:54:07,21.78,87.75,83.86,65,95,3.74
156,Necochea,AR,2020-04-28 02:47:33,-38.55,-58.74,60.01,98,100,8.01
157,Igarka,RU,2020-04-28 02:54:07,67.47,86.58,26.74,95,0,7.29
158,Tuatapere,NZ,2020-04-28 02:48:39,-46.13,167.68,61.0,57,81,8.01
159,Sakakah,SA,2020-04-28 02:49:15,29.97,40.21,66.2,25,20,6.93
160,Nome,US,2020-04-28 02:49:09,64.5,-165.41,26.01,85,20,10.29
161,Esperance,AU,2020-04-28 02:47:54,-33.87,121.9,60.8,67,40,18.34
162,Mundo Nuevo,MX,2020-04-28 02:54:08,18.7,-95.5,78.69,86,0,10.85
163,Rio Gallegos,AR,2020-04-28 02:54:09,-51.62,-69.22,32.0,69,0,5.82
164,Vagur,FO,2020-04-28 02:54:09,61.47,-6.81,42.06,69,83,21.77
165,Bandarbeyla,SO,2020-04-28 02:48:37,9.49,50.81,83.16,74,31,11.21
166,Hasanabad,IR,2020-04-28 02:54:09,36.55,61.05,59.0,100,75,4.7
167,Methoni,GR,2020-04-28 02:54:09,36.82,21.7,59.0,93,19,4.7
168,Sisimiut,GL,2020-04-28 02:54:10,66.94,-53.67,30.13,96,80,20.47
169,Rawson,AR,2020-04-28 02:54:10,-43.3,-65.1,56.26,93,15,8.43
170,Khasan,RU,2020-04-28 02:54:10,42.43,130.64,50.59,57,100,2.35
171,Cienfuegos,CU,2020-04-28 02:54:10,22.15,-80.44,80.6,74,63,8.05
172,Srandakan,ID,2020-04-28 02:54:10,-7.94,110.25,84.33,72,50,9.75
173,Ulladulla,AU,2020-04-28 02:54:11,-35.35,150.47,75.2,53,40,11.41
174,Constitucion,CL,2020-04-28 02:48:33,-35.33,-72.42,55.96,88,79,4.16
175,Hithadhoo,MV,2020-04-28 02:47:43,-0.6,73.08,83.93,76,100,13.27
176,Pangody,RU,2020-04-28 02:54:12,65.85,74.49,31.12,95,100,5.17
177,Surab,PK,2020-04-28 02:54:12,28.49,66.26,71.96,11,0,3.76
178,Bambous Virieux,MU,2020-04-28 02:47:55,-20.34,57.76,75.2,73,75,11.41
179,Qaanaaq,GL,2020-04-28 02:48:11,77.48,-69.36,19.0,93,100,8.55
180,Avarua,CK,2020-04-28 02:48:11,-21.21,-159.78,80.6,78,100,4.7
181,Skibbereen,IE,2020-04-28 02:54:05,51.55,-9.27,44.6,81,40,6.93
182,Asilah,MA,2020-04-28 02:54:13,35.47,-6.03,53.6,93,99,4.7
183,Luangwa,ZM,2020-04-28 02:48:00,-15.62,30.42,64.83,75,10,4.41
184,Brighton,GB,2020-04-28 02:51:33,50.83,-0.14,48.0,94,100,1.99
185,San Antonio,US,2020-04-28 02:52:45,29.42,-98.49,78.8,65,1,16.11
186,Koulikoro,ML,2020-04-28 02:53:39,14.0,-7.75,88.34,18,100,11.36
187,Rocha,UY,2020-04-28 02:53:26,-34.48,-54.33,61.77,93,100,14.14
188,Vanavara,RU,2020-04-28 02:54:14,60.34,102.28,57.11,39,83,11.52
189,Deer Lake,CA,2020-04-28 02:49:45,49.17,-57.43,30.2,63,40,5.82
190,Chokurdakh,RU,2020-04-28 02:48:00,70.63,147.92,20.93,97,99,7.11
191,Kerema,PG,2020-04-28 02:54:15,-7.96,145.78,84.69,70,34,6.8
192,Provideniya,RU,2020-04-28 02:48:18,64.38,-173.3,28.4,68,8,2.24
193,Luderitz,NA,2020-04-28 02:48:36,-26.65,15.16,57.2,87,0,10.29
194,Caravelas,BR,2020-04-28 02:48:28,-17.71,-39.25,74.46,79,0,8.34
195,Marawi,PH,2020-04-28 02:49:38,8.0,124.29,82.99,82,100,5.99
196,Victoria,HK,2020-04-28 02:45:42,22.29,114.16,84.99,34,0,11.41
197,Asau,RO,2020-04-28 02:47:59,46.43,26.4,39.99,64,0,4.18
198,Hami,CN,2020-04-28 02:54:16,42.8,93.45,79.79,7,21,6.04
199,Berkak,NO,2020-04-28 02:54:16,62.83,10.01,42.01,74,0,6.82
200,Alofi,NU,2020-04-28 02:54:16,-19.06,-169.92,79.59,75,92,5.28
201,Ossora,RU,2020-04-28 02:54:17,59.24,163.07,30.67,96,17,4.18
202,Hargeysa,SO,2020-04-28 02:54:17,9.56,44.06,70.23,54,95,16.55
203,Brodokalmak,RU,2020-04-28 02:54:17,55.57,62.08,48.2,87,40,4.47
204,Miri,MY,2020-04-28 02:48:43,4.41,114.01,89.6,70,75,4.7
205,Merauke,ID,2020-04-28 02:54:17,-8.47,140.33,86.95,70,75,10.11
206,Tiksi,RU,2020-04-28 02:48:01,71.69,128.87,21.74,91,100,2.15
207,Lalmohan,BD,2020-04-28 02:54:18,22.34,90.74,84.24,59,86,6.4
208,Puerto Quijarro,BO,2020-04-28 02:54:18,-17.78,-57.77,70.52,61,0,2.77
209,Ribeira Grande,PT,2020-04-28 02:47:58,38.52,-28.7,57.54,68,42,13.69
210,Bathsheba,BB,2020-04-28 02:49:08,13.22,-59.52,80.6,69,40,18.34
211,Houma,US,2020-04-28 02:54:19,29.6,-90.72,66.0,77,1,4.7
212,Bairiki,KI,2020-04-28 02:54:19,1.33,172.98,86.0,79,75,10.29
213,Chuy,UY,2020-04-28 02:47:32,-33.7,-53.46,64.09,90,100,11.36
214,Woodward,US,2020-04-28 02:54:19,36.43,-99.39,69.8,59,1,6.93
215,Port Lincoln,AU,2020-04-28 02:47:32,-34.73,135.87,66.54,68,92,20.51
216,Leningradskiy,RU,2020-04-28 02:47:58,69.38,178.42,31.23,92,1,3.22
217,Krasnotorka,UA,2020-04-28 02:54:20,48.68,37.53,39.88,85,11,6.42
218,Nuuk,GL,2020-04-28 02:54:20,64.18,-51.72,32.0,96,13,2.24
219,Kaeo,NZ,2020-04-28 02:49:33,-35.1,173.78,73.0,63,95,5.99
220,Kiruna,SE,2020-04-28 02:54:20,67.86,20.23,24.8,73,65,4.7
221,Katsuura,JP,2020-04-28 02:48:14,35.13,140.3,64.0,76,75,4.7
222,Dickinson,US,2020-04-28 02:54:21,29.46,-95.05,73.99,73,75,9.17
223,Georgiyevka,KZ,2020-04-28 02:54:21,43.04,74.71,69.8,49,0,6.71
224,Anadyr,RU,2020-04-28 02:54:22,64.75,177.48,15.8,92,35,8.95
225,Guerrero Negro,MX,2020-04-28 02:46:06,27.98,-114.06,65.89,82,1,14.94
226,Deputatskiy,RU,2020-04-28 02:54:22,69.3,139.9,17.98,92,100,4.21
227,Jiaocheng,CN,2020-04-28 02:54:22,24.68,116.14,86.58,33,0,2.26
